,ci_test_results,z_test_results,z_test_p_values,t_test_p_values,mean_diff
LINC00493,True,True,0.01871278882505704,0.01890648993704781,5.773914346000012
MAGEA2B,False,False,0.7707621249163764,0.7708226732962952,0.33130307887129895
CCT2,True,True,0.0009566259060622652,0.0009905966070054657,13.561419889999996
SLC11A1,True,True,0.03882577500304986,0.039083384907173085,2.8905760282780006
C9orf50,False,False,0.577260069662046,0.5773850588825269,0.8253296674264159
HDAC7,True,True,1.2210345716776526e-06,1.4160623883733616e-06,13.282932017200004
SLFN14,False,False,0.27534324605893234,0.2756065373293039,1.33982529845686
YPEL4,False,False,0.5390829000909358,0.5392228837909175,0.7982228754698402
AARD,False,False,0.0840868285580389,0.08439621067591381,1.1647880403131996
OR2AP1,False,False,0.7358934361886106,0.7359643600238271,0.16569718779036313
KHDRBS3,False,False,0.8009005672307864,0.8009524918176217,0.19344590679863938
NOL9,False,False,0.15267362546294239,0.1529866133740064,2.0889438225999974
OTUD3,False,False,0.8656844646205966,0.8657187402154034,0.1674347090000019
C11orf21,True,True,4.967785968324068e-37,1.9819394999339396e-34,50.5278477987
C19orf68,False,False,0.9937621216337243,0.9937636840962004,0.007651885919999657
WDR27,False,False,0.1978781231738126,0.19817662638337682,1.3884088441400007
CUTA,True,True,1.2718529868129843e-06,1.473610640438532e-06,18.262965904000026
LRRC23,False,False,0.3616143595131017,0.3618346758690999,0.6797809013599991
MARCH7,False,False,0.1844294221173426,0.18473296681185436,2.3019621760000035
C1orf94,False,False,0.3810079009360102,0.3812187019348128,0.8081845873275366
UCKL1,False,False,0.4836952473179208,0.48385848419925614,1.0784532720000115
LYRM4,True,True,0.005860967708217032,0.0059676738041230856,4.1602866142
STK11,True,True,7.727865082802716e-06,8.614949733368492e-06,4.568938171799999
RP11-1236K1.1,False,False,0.492570064685776,0.49272945612503316,0.8060906661901228
DMRTC1B,False,False,0.49359602940124314,0.49375497921381895,0.5467663652337349
IL31RA,False,False,0.32244929601055505,0.32268911762241936,0.46868494545445993
